SKU,Product ID,Ranges,Product Name,Description,Finish,EAN,Width (mm),Height (mm),Depth (mm),Kg,Qty,BP 1,BP2,BP 3,BP 4,BP 5,BP 6,Assembly Instructions,Image URL1,Image URL2,Image URL3,Image URL4,Image URL5,Image URL6,Image URL7,Image URL8,Image URL9,Image URL10,Image URL11,Image URL12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010402,3022170246325F,Copenhagen,2+3+4 Drawer Chest Cream and Pine,"2 + 3 + 4 Drawer Extra wide chest in attractive Cream MDF/Pine is a large, stylish solid chest of drawers with lots of storage space. The top makes a nice area for mirror and photos, and the total of 9 easy gliding drawers with cam lok drawer fronts gives lots of storage space. Crafted from Creme MDF/Pine and finished with a smooth lacquer makes this a durable and attractive choice for any bedroom. Why not add our matching dressing table which is same height.","Cream MDF and Solid Pine (excludes backs, drawer base and drawer sides)",5706036681361,1209,739,384,39.4,1,Solid Cream MDF/Pine,Cam lock drawer fronts,Metal drawer runners,Solid pine handles,Easy self assembly,,https://www.dropbox.com/s/8lyqabizt6bwh7f/1010402_ai.pdf?dl=0,https://www.dropbox.com/s/g4x242pts45fezy/1010402_1.jpg?dl=0,https://www.dropbox.com/s/1acdp2gqjc1lguz/1010402_2.jpg?dl=0,https://www.dropbox.com/s/n5heiuu03bxuonh/1010402_3.jpg?dl=0,https://www.dropbox.com/s/msehvpnt4x1y1jr/1010402_4.jpg?dl=0,https://www.dropbox.com/s/aw20b9uansw6jvu/1010402_5.jpg?dl=0,https://www.dropbox.com/s/udoztejrfndlgmk/1010402_6.jpg?dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010411,3022170034325F,Copenhagen,2+3+4 Drawer Chest Pine,"2 + 3 + 4 Drawer Extra wide chest in Pine is a large, stylish solid pine chest of drawers with lots of storage space. The top makes a nice area for a mirror and photos. The total of 9 easy gliding drawers with cam lok drawer fronts gives lots of storage space. Crafted from solid pine and finished with a smooth stained lacquer makes this a durable and attractive choice for any bedroom. Why not add our matching dressing table which is same height.","Pine  (excludes backs, drawer base and drawer sides)",5706036664098,1209,739,384,28.6,1,Solid Antique lacquered pine,Cam lock drawer fronts,Metal drawer runners,Solid pine handles,Easy self assembly,,https://www.dropbox.com/s/9ealzdo0c3tx5au/1010411_ai.pdf?dl=0,https://www.dropbox.com/s/4zitd1ta1g1p233/1010411_1.jpg?dl=0,https://www.dropbox.com/s/25v8davd0d4epm1/1010411_2.jpg?dl=0,https://www.dropbox.com/s/deron3hpsbnmoky/1010411_3.jpg?dl=0,https://www.dropbox.com/s/ry3onb7yy0x5xwr/1010411_4.jpg?dl=0,https://www.dropbox.com/s/tcurkezr4p455rq/1010411_5.jpg?dl=0,https://www.dropbox.com/s/nfj92z29nqjiwad/1010411_6.jpg?dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010501,3022320050325F,Copenhagen,2+3 Deep Drawer Chest White,"2 + 3 Deep Drawer Chest in attractive white MDF is a large, stylish solid chest of drawers with lots of storage space. This model not only has 3 large deeper drawers, we have increased the depth of the chest as well to give the ultimate in storage. Gliding runners with cam lok drawer fronts, crafted from white MDF and finished with a smooth lacquer makes this a durable and attractive choice for any bedroom. Why not add our matching 2+4 Deep chest to offer your customer the ultimate storage package.","White Painted MDF  (excludes backs, drawer base and drawer sides)",5706036664265,825,898,475,34.7,1,Solid White MDF,Cam lock drawer fronts,Metal drawer runners,Solid pine handles,Easy self assembly,,https://www.dropbox.com/s/e7dinco264lpsal/1010501_ai.pdf?dl=0,https://www.dropbox.com/s/3600m5qf13gidj4/1010501_1.jpg?dl=0,https://www.dropbox.com/s/iee3lq7ekolb6c8/1010501_2.jpg?dl=0,https://www.dropbox.com/s/u6wrx7oez8f16dx/1010501_3.jpg?dl=0,https://www.dropbox.com/s/80nqmmssxcg5wl2/1010501_4.jpg?dl=0,https://www.dropbox.com/s/44lwmfm6yxqikge/1010501_5.jpg?dl=0,https://www.dropbox.com/s/so6e0cn4n58qfar/1010501_6.jpg?dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010511,3022320034325F,Copenhagen,2+3 Deep Drawer Chest Pine,"2 + 3 Deep Drawer Chest in Pine is a large, stylish solid pine chest of drawers with lots of storage space. This model not only has 3 large deeper drawers, we have increased the depth of chest as well to give the ultimate in storage. Gliding runners with cam lok drawer fronts, crafted from solid pine and finished with a smooth stained lacquer makes this a durable and attractive choice for any bedroom. Why not add our matching 2+4 Deep chest to offer your customer the ultimate storage package.","Pine  (excludes backs, drawer base and drawer sides)",5706036664104,825,898,475,25.1,1,Solid Antique lacquered pine,Cam lock drawer fronts,Metal drawer runners,Solid pine handles,Easy self assembly,,https://www.dropbox.com/s/g2luvh7l57760yv/1010511_ai.pdf?dl=0,https://www.dropbox.com/s/rh2g6uyfgk83uvh/1010511_1.jpg?dl=0,https://www.dropbox.com/s/yv7csfajv9w0jrj/1010511_2.jpg?dl=0,https://www.dropbox.com/s/jdf6yzaavfoc2wt/1010511_3.jpg?dl=0,https://www.dropbox.com/s/1lg2cb40y6fy464/1010511_4.jpg?dl=0,https://www.dropbox.com/s/wka6qp1w5ydvm9q/1010511_5.jpg?dl=0,https://www.dropbox.com/s/ubwtrnq8ch8zvg9/1010511_6.jpg?dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010602,3022330246325F,Copenhagen,2+4 Deep Drawer Chest Cream and Pine,"2 + 4 Deep Drawer Chest in attractive Cream MDF/Pine is a large, stylish solid chest of drawers with lots of storage space. This model not only has 4 large deeper drawers, we have increased the depth of the chest as well to give the ultimate in storage. Gliding runners with cam lok drawer fronts, crafted from Creme MDF/Pine and finished with a smooth lacquer makes this a durable and attractive choice for any bedroom. Why not add our matching 2+3 Deep chest to offer your customer the ultimate storage package.","Cream MDF and Solid Pine (excludes backs, drawer base and drawer sides)",5706036681408,825,1111,475,41.0,1,Solid Cream MDF/Pine,Cam lock drawer fronts,Metal drawer runners,Solid pine handles,Easy self assembly,,https://www.dropbox.com/s/spb15h8wy91egzy/1010602_ai.pdf?dl=0,https://www.dropbox.com/s/4m4qlqbis9ai4ej/1010602_1.jpg?dl=0,https://www.dropbox.com/s/ssdokufkmpdy271/1010602_2.jpg?dl=0,https://www.dropbox.com/s/q1uo60l75euab5g/1010602_3.jpg?dl=0,https://www.dropbox.com/s/bz9wlegm1ingarn/1010602_4.jpg?dl=0,https://www.dropbox.com/s/nkp02lotmr25xfg/1010602_5.jpg?dl=0,https://www.dropbox.com/s/mgtnpc3d93lz3n2/1010602_6.jpg?dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010702,3023750246325F,Copenhagen,Single Dressing Table Cream and Pine,"Single Dressing Table in attractive Cream MDF/Pine can be used as a stylish dressing table matching other items from the collection, or as a desk for the single bedroom or home office. The 4 drawers offer plenty of storage space with room on top for a mirror and photos, or as a desk gives plenty of workspace. Gliding runners with cam lok drawer fronts, crafted from Creme MDF/Pine and finished with a smooth lacquer makes this a durable and attractive choice for any bedroom. Why not add our matching single or double bed.","Cream MDF and Solid Pine (excludes backs, drawer base and drawer sides)",5706036681347,1003,739,475,24.7,1,Solid Cream MDF/Pine,Cam lock drawer fronts,Metal drawer runners,Solid pine handles,Easy self assembly,,https://www.dropbox.com/s/4f3qlhktjc6pdxa/1010702_ai.pdf?dl=0,https://www.dropbox.com/s/ns806u3dbmoin2z/1010702_1.jpg?dl=0,https://www.dropbox.com/s/tpd69114nnp0tgb/1010702_2.jpg?dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010801,3023800050325F,Copenhagen,Blanket Box White,"Blanket Box in attractive white MDF is a beautifully crafted chest that is as good looking as it is useful. A great addition to this Bedroom collection, this elegant blanket box is the ideal way to store blankets, towels and bed linen. Crafted from solid white MDF and finished with a smooth lacquer makes this a durable and attractive choice for the bedroom. Why not add one of our extra deep chests to offer your customer a great storage package.","White Painted MDF  (excludes backs, drawer base and drawer sides)",5706036664296,828,445,417,18.4,1,Solid White MDF,Cam lock drawer fronts,Metal drawer runners,Solid pine handles,Easy self assembly,,https://www.dropbox.com/s/41ydqx00wja2m7c/1010801_ai.pdf?dl=0,https://www.dropbox.com/s/qeavei28151nbtw/1010801_1.jpg?dl=0,https://www.dropbox.com/s/w8nomu0rdvcjlqu/1010801_2.jpg?dl=0,https://www.dropbox.com/s/xpxxcy7pfyzjgcy/1010801_3.jpg?dl=0,https://www.dropbox.com/s/nzkixuk8fnfuh4c/1010801_4.jpg?dl=0,https://www.dropbox.com/s/hdexjtad2muhwr3/1010801_5.jpg?dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010802,3023800246325F,Copenhagen,Blanket Box Cream and Pine,"Blanket Box in attractive Cream MDF/Pine is a beautifully crafted chest that is as good looking as it is useful. A great addition to this Bedroom collection, this elegant blanket box is the ideal way to store blankets, towels and bed linen. Crafted from solid Creme MDF/Pine and finished with a smooth lacquer makes this a durable and attractive choice for the bedroom. Why not add one of our extra deep chests to offer your customer a great storage package.","Cream MDF and Solid Pine (excludes backs, drawer base and drawer sides)",5706036681415,828,445,417,18.4,1,Solid Cream MDF/Pine,Cam lock drawer fronts,Metal drawer runners,Solid pine handles,Easy self assembly,,https://www.dropbox.com/s/zh7hsuq3fxfzi94/1010802_ai.pdf?dl=0,https://www.dropbox.com/s/q389r3yui97jwx9/1010802_1.jpg?dl=0,https://www.dropbox.com/s/vo88x7i8x6bcj85/1010802_2.jpg?dl=0,https://www.dropbox.com/s/ombpnpf7tagboes/1010802_3.jpg?dl=0,https://www.dropbox.com/s/193w0uxkc32g5aj/1010802_4.jpg?dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010811,3023800034325F,Copenhagen,Blanket Box Pine,"Blanket Box in Pine is a beautifully crafted chest that is as good looking as it is useful. A great addition to this Bedroom collection, this elegant blanket box is the ideal way to store blankets, towels and bed linen. Crafted from solid pine and finished with a smooth stained lacquer makes this a durable and attractive choice for the bedroom. Why not add one of our extra deep chests to offer your customer a great storage package.","Pine  (excludes backs, drawer base and drawer sides)",5706036664135,828,445,417,12.5,1,Solid Antique lacquered pine,Cam lock drawer fronts,Metal drawer runners,Solid pine handles,Easy self assembly,,https://www.dropbox.com/s/u5qt9tqvq8ljuyp/1010811_ai.pdf?dl=0,https://www.dropbox.com/s/019h3yya02d3huk/1010811_1.jpg?dl=0,https://www.dropbox.com/s/g44jsyrdpmghojn/1010811_2.jpg?dl=0,https://www.dropbox.com/s/m4v6dks4r60nxwp/1010811_3.jpg?dl=0,https://www.dropbox.com/s/fk8sun2r93jgets/1010811_4.jpg?dl=0,https://www.dropbox.com/s/nsggd5wiedmqw05/1010811_5.jpg?dl=0,https://www.dropbox.com/s/g5evsztj8t15szg/1010811_6.jpg?dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012201,3023021050325F,Copenhagen,3 Door 4 Drawer Robe White,"3 Door 4 Drawer Wardrobe in attractive white MDF is a large triple robe that combines lots of hanging space over 4 wide drawers to give the ultimate storage for everyones clothes, beautifully styled to match the rest of this bedroom collection. It has 3 separate doors all with adjustable hinges that open up to reveal loads of hanging space and the 4 drawers which are perfect for folding clothes, all drawers are on easy glide runners and have cam lok system on drawer fronts. Crafted from white MDF and finished with a smooth lacquer makes this a durable and attractive choice. Why not add a matching bed, bedside and chest to offer your customer a room to go offer.","White Painted MDF  (excludes backs, drawer base and drawer sides)",5706036664319,1298,1852,565,76.0,3,Solid White MDF,Cam lock drawer fronts,Metal drawer runners,Solid pine handles,Easy self assembly,,https://www.dropbox.com/s/pwlzddjj6o086w2/1012201_ai.pdf?dl=0,https://www.dropbox.com/s/8mrf2vcurke4f9t/1012201_1.jpg?dl=0,https://www.dropbox.com/s/yga8dfueifoxrul/1012201_2.jpg?dl=0,https://www.dropbox.com/s/sgprek27lfka9q5/1012201_3.jpg?dl=0,https://www.dropbox.com/s/o4nljbw2ewr5kei/1012201_4.jpg?dl=0,https://www.dropbox.com/s/0k5r9lfq4t8nr5q/1012201_5.jpg?dl=0,https://www.dropbox.com/s/53b0away0mdtoqr/1012201_6.jpg?dl=0,https://www.dropbox.com/s/hafu2uz9npcxcwb/1012201_7.jpg?dl=0,https://www.dropbox.com/s/k78nf93tpgc92fs/1012201_8.jpg?dl=0,https://www.dropbox.com/s/lf5qst3chjlez68/1012201_9.jpg?dl=0,https://www.dropbox.com/s/s1l7qda6k4rnl73/1012201_10.jpg?dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
